id,name,url,contact,description,geoextent,geocoverage_dirty,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,environmental_domain,environmental_field,category,social_uptake,policy_uptake,policy_uptake_explanation,policy_relevance,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17
21,Atlas Survey of the Butterflies of Denmark,http://danbif.au.dk/ipt/resource?r=ds32,ICalabuig@snm.ku.dk (Project leader),This dataset contains the primary occurrence data from a complete atlas survey of the Butterflies of Denmark.,National,Denmark,Denmark,Danish Society for Nature Conservation,Academic,1989,No,1994,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,2,2,0,1,2,0
22,Auchenorrhyncha Recording Scheme,http://www.ledra.co.uk/biol_rec.html,enquiries@ledra.co.uk,"Collection, collation and dissemination of information about the occurrence of animal and plant species in the environment. Individual naturalist recording species seen on a favourite walk to major national systematic surveys of particular species or habitats.",National,"Britain, Ireland","United Kingdom of Great Britain and Northern Ireland (the), Ireland",Biological Record Centre,Governmental,1979,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,2,2,1,0,0,0,0,2,0,0,0,2,0,1,2,2
23,AuroraSaurus,http://aurorasaurus.org,aurorasaurus.info@gmail.com,Reporting auroras from the ground up,Global,World,World,National Science Foundation,Governmental,2014,Yes,Unknown,Atmospheric,Air quality,Monitoring,Large,No,N/A,Early-warning,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,2
24,Avez-vous vu ces animaux en Côtes d'Armor ?,http://www.vivarmor.fr/nos-actions/le-reseau-des-naturalistes-costarmoricains/presentation/,vivarmor@orange.fr,"Participatory science program whose goal is to raise awareness and involve the inhabitants of the Côtes d'Armor to monitor the wildlife around them (network of wildlife observers). The association also has citizen science programs for cleaning of beaches, awareness raising of sea-fishing on foot, bird counts (for experts).",Sub-national,France,France,Viv'Armor Nature,Non-governmental,2001,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Considerable,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0
25,Back from the Brink,https://naturebftb.co.uk/,Unknown,"A large Heritage Lottery funded project focusing on threatened species, with many projects having a citizen science element.",National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Natural England,Governmental,2017,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,Yes,"It is a key contributor to achieving the Government’s Biodiversity Strategy 2020 and forms part of Natural England’s Species Recovery Programme, which focuses on boosting populations of rare insects, birds, amphibians, plants, fungi, and mammals",Problem definition,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,2
26,Backyard Bird Survey,http://www.yardbirds.org.il/,yardbirdsil@gmail.com,"The only bird monitoring program in Israel, recently became part of the SPNI citizen science forum",National,Israel,Israel,The Israeli Center for Yardbirds,Academic,2017,No,2017,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,N/A,Policy implementation or monitoring,0,2,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
27,Baltic Sea Project,http://www.balticseaportal.net/bsp_section/web/?id=396,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"This project contributed to the overall objective of protection and sustainable use of marine biodiversity in the Eastern Baltic Sea (costal and offshore waters of Estonia, Latvia and Lithuania).",Regional,"Estonia, Latvia, Lithuania","Estonia, Latvia, Lithuania",Baltic Environ- mental Forum (BEF) Group,Non-governmental,2005,No,2009,Marine,"Biodiversity, nature and landscapes",Monitoring,Very large,Yes,"The project has been attested having achieved a lot of valuable outcome for the Baltic States and the direct beneficiaries of the results, the three ministries of Environment, have expressed their satisfaction with the work.",Policy implementation or monitoring,0,1,2,1,0,1,0,2,2,0,0,1,2,1,0,2,1
28,BalticDiversity,http://balticdiversity.eu,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"The project will develop a transboundary network of national data bases for connecting nature observation data from the major natural history museums and collections of Estonia, Finland and Sweden, for promoting the use of these data in decision-making in nature conservation, research and education, as well as by the general public interested in nature.",Regional,"Estonia, Finland,  Sweden","Estonia, Finland,  Sweden",University of Tartu,Academic,2011,No,2013,Terrestrial,"Biodiversity, nature and landscapes",DIY engineering,Large,No,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,1,0,0,0,2,0,1,2,1
29,BALTICFLOWS,http://www.balticflows.eu,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,The Baltic Flows project concerns rainwater monitoring and management in Baltic Sea catchment areas.,Regional,"Estonia, Finland, Germany, Latvia, Sweden","Estonia, Finland, Germany, Latvia, Sweden",University of Turku,Academic,2013,No,2016,Freshwater,Water,Monitoring,Large,No,N/A,Problem definition,0,0,2,2,0,2,0,0,2,0,2,0,2,2,2,2,1
30,Basking Shark Sightings,http://www.sharktrust.org/en/basking_shark_sightings,enquiries@sharktrust.org,Safeguarding the future of sharks,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Shark Trust,Non-governmental,2004,Yes,Unknown,Marine,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Problem definition,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,2,0
31,Bat Conservation Trust,http://www.bats.org.uk/pages/take_part_in_surveys.html,enquiries@bats.org.uk,It runs multiple projects surveying different aspects of bats,Macro-regional,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Bat Conservation Trust,Non-governmental,1991,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,Yes,"All of our bats and their roosts are protected by law. Legislation is one way of maintaining bat biodiversity and shows that the Government thinks that conservation of bats is important.

BCT's Bat Biodiversity Project delivers a whole range of actions in conjunction with the Statutory Nature Conservation Organisations, volunteer bat workers, other environmental charities, sectors of trade and industry and government departments to help ensure that bat biodiversity is maintained.",Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
32,Bat Detectives,http://www.batdetective.org/#!/home,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,Part of zoouniverse project,Global,World,World,Zooniverse,Academic,2012,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
33,BBS Survey of Reproductive Phenology of Common British Bryophytes,http://rbg-web2.rbge.org.uk/bbs/Activities/Phenology/Phenology%20Project.htm,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,British Bryological Society exists to promote the study of mosses and liverworts,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),British Bryological Society,Non-governmental,2011,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
34,Beach explorer,https://www.beachexplorer.org/,info@beachexplorer.de,The BeachExplorer offers guidance and interesting facts about beach finds of all kinds. We accept any find information and forward it to the scientific exploration of our coasts.,Regional,Germany,Germany,Federal Ministry of Education and Research ( BMBF),Governmental,2012,Yes,Unknown,Marine,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,1,0,2,0
35,Beachwatch Litter Survey,http://www.mcsuk.org/beachwatch/,info@mcsuk.org,UK national beach cleaning and litter surveying programm,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Marine Conservation Society,Non-governmental,2014,Yes,Unknown,Marine,Environmental health,Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0
36,Bee projects in Copenhagen,https://www.copenhagencvb.com/copenhagen/bee-projects-copenhagen,meetings@woco.dk,"Bringing more honeybees to the city helps pollination, meaning that the harvest of fruits and berries from the city’s trees and bushes improves. In Copenhagen, city beekeeping is also used as a social project  for people in long-term unemployment; to teach school kids about the importance of bees in the eco-system; and to teach city-dwellers about the nature which lives in their own window boxes and gardens.",Sub-national,Denmark,Denmark,Bybi (City Bee Asociation),Non-governmental,2014,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Early-warning,0,2,2,2,0,0,0,0,2,0,2,0,2,0,1,2,0
37,"Bees, Wasps and Ants Recording Society",www.bwars.com,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,BWARS has 6 projects/surveys for CS to help survey for different hymenopterans,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),UK Biological Records Centre,Non-governmental,1978,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
38,Beetles and beetle recording in Great Britain,http://www.coleoptera.org.uk/home,beetles@ceh.ac.uk,Beetles and beetle recording in Great Britain,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Centre for Recording and Hydrology,Governmental,2012,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
39,Belgian Coccinellidae - Ladybird beetles in Belgium,https://www.gbif.org/dataset/42319b8f-9b9d-448d-969f-656792a69176,info@gbif.org / dnoesgaard@gbif.org,"The Belgian Coccinellidae dataset which is published, is the result of a merge of 4 datasets. The INBO (Research Institute for Nature and Forest; Flemish Region Database), the DFF database (The Walloon Region Database), Observations.be data provided by Natagora (The Walloon Region and Brussels Capital Region) and the Walloon Region Online Encoding Tool (DEMNA - OFFH, observatoire.biodiversite.wallonie.be/encodage) data",Sub-national,Belgium,Belgium,Belgian Coccinellidae - Ladybird beetles in Belgium,Academic,1999,No,2011,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy evaluation,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
40,Bénévolat naturaliste ŕ la FRAPNA Rhône,http://www.frapna-rhone.org/reseau-departemental-biodiversite/presentation-rdb.html,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,Participate in the inventory of mammal and insect populations in the Rhône department,Sub-national,France,France,FRAPNA Fédération Rhône-Alpes de Protection de la Nature,Non-governmental,2004,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,N/A,Early-warning,0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,2,0
41,Bestemmelseskveld,http://www.entomologi.no/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"Norsk entomologist forening arranges the destination night, where you can bring animals from your own collection and compare with animals in the magazine, or get help from others for the determination.",Sub-national,Norway,Norway,Norsk Entomologisk Forening,Non-governmental,2017,No,2017,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,0,0,2,0,0,0,2,0,1,2,0
42,BEWATER ,http://www.bewaterproject.eu,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,BeWater delivered recommendations aiming to strengthen policy and institutional frameworks in tackling global change impacts within water management and adaptation planning.,Macro-regional,Europe,Europe,Anbessa Enviromental Consulting,Governmental,2014,No,2017,Freshwater,Water,Monitoring,Very large,Yes,BeWater responds by delivering recommendations aiming to strengthen policy and institutional frameworks in tackling global change impacts within water management and adaptation planning. These recommendations target the decision-makers from the local to European level and draw on the lessons learned and experiences made throughout the duration of the BeWater project across the four case study river basins.,Policy implementation or monitoring,0,0,2,2,0,1,0,0,2,0,0,0,0,2,2,2,0
43,Big Butterfly Count,http://www.bigbutterflycount.org/,info@butterfly-conservation.org,The big butterfly count is a nationwide survey aimed at helping us assess the health of our environment.,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Butterfly Conservation,Non-governmental,2010,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,2,0,1,0,0,0,0,2,0,0,0,2,0,1,2,0
44,Big Farmland Bird Count 2017,https://www.gwct.org.uk/farming/big-farmland-bird-count/,info@gwct.org.uk,This important initiative offers a simple means of recording the effect of any conservation schemes currently being initiated by farmers and gamekeepers on their land such as supplementary feeding or growing wild bird seed crops and game cover crops.,Sub-national,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Game & Wildlife Conservation Trust,Non-governmental,2017,No,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Considerable,No,N/A,Policy implementation or monitoring,0,1,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
45,Big Wasp Survey,http://www.bigwaspsurvey.org/,info@bigwaspsurvey.org,"Launched in 2017; annual survey in UK. Public sample social wasps using beer traps across the UK in late August. Social wasps are key predators and natural pest controllers yet we know very little about their distributions and abundances. This information is critical as wasp populations are thought to be declining at similar rates to other key insect groups, such as pollinators.",National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Royal Entomological Society,Governmental,2017,No,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,1,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
46,BigPicnic,https://www.bigpicnic.net,BigPicnic@bgci.org,Big Picnic:Big Questions - engaging the public with Responsible Research and Innovation on FoodSecurity,Macro-regional,Europe,Europe,Botanic Gardens Conservation International,Academic,2017,Yes,Unknown,Terrestrial,Waste,Crowd-sourcing,Large,No,N/A,Policy implementation or monitoring,0,1,2,2,0,0,0,0,2,0,0,2,2,0,1,2,1
47,Bioblitz,http://www.bnhc.org.uk/home/bioblitz/,info@bnhc.org.uk,"An annual event, promoting professional and citizen scientists interactions, aimed at raising support for the conservation of biological diversity within civil society.",National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Bristol Natural History Consortium,Non-governmental,2018,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0
48,Bioblitz 2013 Copenhagen Denmark,http://danbif.au.dk/ipt/resource?r=bioblitz2013_copenhagen_denmark,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"an annual event, promoting professional and citizen scientists interactions, aimed at raising support for the conservation of biological diversity within civil society.",Sub-national,Denmark,Denmark,Natural History Museum of Denmark,Academic,2013,No,2013,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0
49,"Bioblitz 2014 Kalvebod Fćlled, Denmark",http://danbif.au.dk/ipt/resource?r=bioblitz_2014_copenhagen_denmark&v=1.0,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"an annual event, promoting professional and citizen scientists interactions, aimed at raising support for the conservation of biological diversity within civil society.",Sub-national,Denmark,Denmark,Entomological Society of Denmark,Academic,2014,No,2014,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0
50,BioBlitz Barcelona  ,http://bioblitzbcn.museuciencies.cat/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"Once a year. From 2010 up to 2017 it has assembled experts and citizens in order to survey the biodiversity in several areas of Barcelona, mainly in urban parks. At the beginning the Natural History Museum of Barcelona and the University of Barcelona have coordinated the tasks. Nowadays the organization is driven by the Museum and the Friends of the Museum.",Sub-national,Spain,Spain,Museu de Cičncies Naturals de Barcelona,Academic,2010,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0
51,BioBlitz Ireland,http://bioblitz.ie/,info@biodiversityireland.ie ,"an annual event, promoting professional and citizen scientists interactions, aimed at raising support for the conservation of biological diversity within civil society.",National,Ireland,Ireland,The National Biodiversity Data Centre,Non-governmental,2016,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0
52,Bioblitz Jerez,http://www.sociedadgaditanahistorianatural.org,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"defense of the natural heritage, within the province of Cádiz, Spain",Sub-national,Spain,Spain,Sociedad Gaditana de Historia Natural,Non-governmental,2017,No,2017,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0
